capa1_pesos;capa1_bias;capa2_pesos;capa2_bias;salida_pesos;salida_bias
-0.42831757;-2.64903211;0.001439287;1.132897812;0.188058;0.8634433
0.12327096;3.38187302;-0.14407003;1.03799818;1.566984;
0.75312169;1.1604057;-0.135557431;-1.6019066;-0.2715889;
-0.17493506;0.91192486;-1.057785448;0.4564502;-0.490666;
0.54049817;0.61510266;0.551722968;;;
-1.88315256;;0.63346854;;;
2.33549747;;-1.87539198;;;
-0.01564416;;-0.18810406;;;
2.22681231;;0.04143487;;;
2.07634499;;-0.52272929;;;
0.58897568;;-0.5645833;;;
0.55827701;;-0.6500769;;;
-0.13506883;;0.71514;;;
0.12109314;;-0.6258243;;;
0.02330278;;-0.2758988;;;
0.53181354;;0.8484983;;;
-0.59972214;;-0.7060604;;;
0.29629753;;-0.4618525;;;
-0.0478001;;-0.4208804;;;
-1.05745579;;0.2176058;;;
0.32941452;;;;;
0.2516982;;;;;
0.5472851;;;;;
-0.6857498;;;;;
-0.3095583;;;;;
0.2183014;;;;;
0.189506;;;;;
-1.4386094;;;;;
-1.1897026;;;;;
-0.2059784;;;;;
-0.7858001;;;;;
-0.3559701;;;;;
0.7816828;;;;;
-0.06090038;;;;;
0.37634183;;;;;
-0.07433353;;;;;
-0.11415898;;;;;
-1.26758554;;;;;
-0.21844122;;;;;
-0.04091551;;;;;
1.89396205;;;;;
0.73405956;;;;;
0.62232892;;;;;
-0.10798779;;;;;
0.55659639;;;;;
0.29652711;;;;;
-0.03640847;;;;;
-0.06789841;;;;;
-0.56462158;;;;;
-1.53336457;;;;;
0.7920186;;;;;
1.10669759;;;;;
0.39939686;;;;;
-0.54376142;;;;;
1.476777;;;;;
